user_id,Studio_User,inactive_days
ewalker11,true,58
rootuser14,true,33
norahlatona,true,44
paulblackmore,true,57
cyberneticscore,true,41
catzmedia,true,41
guizuca1,true,49
phanthinh,true,51
atomarchio,true,34
chishi,true,45
fuwadiegwu,true,58
taoh,true,57
tsukasa38,true,38
myriamdb,true,47
zeinsuna38,true,35
manojaug,true,60
deignerfigidner,true,30
indian74aolcom,true,40
soloplayerid,true,37
jiangji,true,45
nueliang,true,60
yexuanzhou,true,38
civio,true,55
baidada,true,54
afomichenko,true,53
anfic,true,46
lakewealth,true,47
wusong,true,49
wuyanzu3,true,47
jessidso,true,46
rezaamiri,true,46
sharex,true,59
roywang2000,true,48
burcusgzeloglu,true,49
smaquilon,true,57
youxiaoxin,true,58
autofox,true,44
ammper,true,33
hanajiang123,true,57
sarun-s,true,58
trmnl,true,33
rajavignesh,true,40
thomasbax,true,31
leochuang,true,30
anujak,true,52
andi96,true,33
selfiesafari,true,59
sssavitskayanguadi,true,38
siwasaki,true,32
felixburjan,true,54
masadi,true,45
jackieso,true,47
turnkeyhub,true,47
zhouchangli,true,48
brainc0d3r,true,58
phyaesone,true,47
shihui1994,true,56
osalxxx,true,56
fdiluca,true,60
jujumin,true,42
nkarst,true,47
juanrivera,true,35
stoki,true,36
zeerowmusic,true,43
blackkk,true,31
viaelab,true,37
evakang,true,31
afatemi,true,40
alejandraqpr,true,42
vaem,true,55
15242,true,49
maggi20,true,35
qwe976130,true,55
lastone,true,44
moopsy,true,55
thomasdik,true,45
minksocks,true,44
thewind47,true,59
jthegnar,true,45
benedettatodeschini,true,40
clementine5,true,40
ajlal,true,36
mushi111,true,59
ghjkl,true,54
pakolp,true,30
beckysusan11,true,35
dhamiltonbasic,true,40
sergfirefly,true,40
ruthabrwolf,true,32
sanjukul99,true,41
twbta,true,48
gorshkovkirill,true,42
samara34075251,true,46
yestolifemap,true,57
rajabtex,true,48
solsinha82,true,44
anberm,true,34
bendecker,true,58
jackywyk,true,46
groggyrfc,true,35
market2dayapp,true,42
mcpenchel,true,60
pixelrain,true,59
issam2136,true,31
carbbrax,true,44
diadrius,true,31
muttyeah,true,44
jiben,true,56
gerard12,true,45
ahnsunnyyoung,true,32
kapikan,true,43
sotoswitch,true,51
lsilvoy,true,47
dustinowilliams,true,52
felipeappnet,true,32
carmella,true,43
alejandrobm3,true,51
h77,true,55
barajaswargiary,true,59
yimn,true,54
dipanjan9,true,45
despondentcoder129,true,34
joejoe1,true,60
mikelicious,true,57
marqueseu,true,56
gokulkchandran,true,53
martin3m,true,47
able3d,true,49
rengin,true,50
arthurfourier,true,52
mjoshi95,true,54
jv97,true,41
jimenezmoracd,true,34
ivanencinas,true,46
shashankm,true,30
supernowae,true,57
lnaso4sms,true,30
aanshi,true,36
diegoosx3,true,57
juliandelarosa,true,60
warugiria,true,47
lanmoomoo,true,57
swift54,true,39
yreijners,true,53
tomcand,true,32
maairab,true,58
tudewartana,true,34
nethan-k,true,59
jotacorp,true,55
saveliy2005,true,58
ninjadarthrufus,true,56
bbbigbrother,true,46
ctwhite122,true,53
kathi,true,39
dfuchs1993,true,55
ameliaplatje,true,57
zhangyeyao,true,53
marc80,true,33
vhvieyra,true,33
dgbdiego,true,46
jcla,true,37
ample-09,true,30
tarcer,true,60
amitratwani,true,41
sinndymag,true,51
patelkirtan2010,true,37
tgreene,true,30
mervet1,true,30
jremillard,true,59
texastribune,true,60
filipq,true,38
ninsaude,true,55
nzsl2019,true,31
ashwanir,true,54
entsoe,true,45
